"Kode Produk","Nama Produk",Variasi,Diharapkan,Terhitung
OLN-001,"WMeat Daging Rendang 500 gr",,0.0000,
OLN-002,"WMeat Daging Rendang 800 gr",,0.0000,
OLN-003,"WMeat Aus Beef Daging Giling 500 gr",,0.0000,
OLN-004,"WMeat Aus Beef Daging Giling 1 kg",,0.0000,
OLN-005,"WMeat Daging Slice 300 gr",,0.0000,
OLN-006,"WMeat Daging Slice  500 gr",,0.0000,
OLN-009,"WMeat Aus Beef Striploin Steak 200 gr",,0.0000,
OLN-010,"WMeat Aus Beef Striploin Steak 400 gr",,0.0000,
OLN-011,"WMeat Aus Beef Iga Bakar 500 gr",,0.0000,
OLN-012,"WMeat Aus Beef Iga Bakar 1 kg",,0.0000,
WMS-022,"WMeat Aus Beef Oxtail Cut 1 kg",,14.0000,
